carModel;carPrice
Nissan Stanza;2000
Nissan Titan;37958
Nissan Truck;2390
Nissan Van;2000
Nissan Versa;14661
Nissan Versa Note;16834
Nissan Xterra;26980
Oldsmobile Achieva;2000
Oldsmobile Alero;20626
Oldsmobile Aurora;33368
Oldsmobile Bravada;34021
Oldsmobile Ciera;2000
Oldsmobile Custom Cruiser;2000
Oldsmobile Cutlass;2045
Oldsmobile Cutlass Calais;2000
Oldsmobile Cutlass Ciera;2000
Oldsmobile Cutlass Supreme;2000
Oldsmobile Eighty-Eight;2105
Oldsmobile Eighty-Eight Royale;2000
Oldsmobile Intrigue;17360
Oldsmobile LSS;2330
Oldsmobile Ninety-Eight;2000
Oldsmobile Regency;2042
Oldsmobile Silhouette;32804
Oldsmobile Toronado;2000
Plymouth Acclaim;2000
Plymouth Breeze;2000
Plymouth Colt;2000
Plymouth Grand Voyager;2136
Plymouth Horizon;2000
Plymouth Laser;2000
Plymouth Neon;3195
Plymouth Prowler;28544
Plymouth Sundance;2000
Plymouth Voyager;2075
Pontiac 6000;2000
Pontiac Aztek;22688
Pontiac Bonneville;30753
Pontiac Firebird;19644
Pontiac G3;14335
Pontiac G5;17664
Pontiac G6;25020
Pontiac G8;30767
Pontiac Grand Am;21346
Pontiac Grand Prix;24986
Pontiac GTO;31793
Pontiac Le Mans;2000
Pontiac Montana;27944
Pontiac Montana SV6;26000
Pontiac Solstice;27140
Pontiac Sunbird;2000
Pontiac Sunfire;13371
Pontiac Torrent;26542
Pontiac Trans Sport;2020
Pontiac Vibe;18388
Porsche 718 Cayman;60100
Porsche 911;123764
Porsche 928;7704
Porsche 944;3094
Porsche 968;4643
Porsche Boxster;61413
Porsche Carrera GT;440000
Porsche Cayenne;94386
Porsche Cayman;62488
Porsche Cayman S;58900
Porsche Macan;61725
Porsche Panamera;123341
Rolls-Royce Corniche;359990
Rolls-Royce Dawn;335000
Rolls-Royce Ghost;276525
Rolls-Royce Ghost Series II;307831
Rolls-Royce Park Ward;261445
Rolls-Royce Phantom;445959
Rolls-Royce Phantom Coupe;440467
Rolls-Royce Phantom Drophead Coupe;482125
Rolls-Royce Silver Seraph;224945
Rolls-Royce Wraith;294425
Saab 09.Mai;42926
Saab 09.Mrz;37603
Saab 900;2025
Saab 9000;2059
Saab 9-2X;24970
Saab 9-3 Griffin;36581
Saab 9-4X;38952
Saab 9-7X;43393
Scion FR-S;27518
Scion iA;16250
Scion iM;18830
Scion iQ;16169
Scion tC;21546
Scion xA;12997
Scion xB;18445
Scion xD;16683
Spyker C8;213323
Subaru B9 Tribeca;34088
Subaru Baja;24398
Subaru BRZ;27686
Subaru Crosstrek;24175
Subaru Forester;27337
Subaru Impreza;21169
Subaru Impreza WRX;30656
Subaru Justy;2000
Subaru Legacy;25371
Subaru Loyale;2000
Subaru Outback;29622
Subaru SVX;2281
Subaru Tribeca;33155
Subaru WRX;32863
Subaru XT;2000
Subaru XV Crosstrek;24395
Suzuki Aerio;15918
Suzuki Equator;24513
Suzuki Esteem;13296
Suzuki Forenza;15575
Suzuki Grand Vitara;22763
Suzuki Kizashi;23994
Suzuki Reno;14647
Suzuki Samurai;2000
Suzuki Sidekick;2022
Suzuki Swift;6642
Suzuki SX4;17609
Suzuki Verona;19221
Suzuki Vitara;17474
Suzuki X-90;2000
Suzuki XL7;27014
Suzuki XL-7;23689
Tesla Model S;85256
Toyota 4Runner;38221
Toyota 86;26615
Toyota Avalon;36230
Toyota Avalon Hybrid;39019
Toyota Camry;26953
Toyota Camry Hybrid;28291
Toyota Camry Solara;24342
Toyota Celica;20725
Toyota Corolla;20221
Toyota Corolla iM;19120
Toyota Cressida;2000
Toyota ECHO;11017
Toyota FJ Cruiser;27865
Toyota Highlander;37220
Toyota Highlander Hybrid;48939
Toyota Land Cruiser;82768
Toyota Matrix;20310
Toyota MR2;2139
Toyota MR2 Spyder;25395
Toyota Paseo;2045
Toyota Pickup;2274
Toyota Previa;2200
Toyota Prius;26909
Toyota Prius c;21378
Toyota Prius Prime;29667
Toyota Prius v;28841
Toyota RAV4;28789
Toyota RAV4 EV;49800
Toyota RAV4 Hybrid;31445
Toyota Sequoia;55688
Toyota Sienna;37673
Toyota Supra;19738
Toyota T100;2861
Toyota Tacoma;30318
Toyota Tercel;2029
Toyota Tundra;37844
Toyota Venza;33032
Toyota Yaris;16464
Toyota Yaris iA;16500
Volkswagen Beetle;26101
Volkswagen Beetle Convertible;30492
Volkswagen Cabrio;18592
Volkswagen Cabriolet;2000
Volkswagen CC;35854
Volkswagen Corrado;2000
Volkswagen e-Golf;33371
Volkswagen Eos;38064
